"Date","Price","Open","High","Low","Vol.","Change %"
"11/09/2016","10,225.50","10,050.35","10,225.50","9,828.07","686.21M","1.28%"
"11/08/2016","10,096.57","9,953.15","10,176.71","9,953.15","409.07M","2.48%"
"11/07/2016","9,852.69","9,761.61","9,852.69","9,761.61","627.32M","5.38%"
"11/06/2016","9,349.90","8,976.40","9,349.90","8,976.40","440.02M","6.12%"
"11/03/2016","8,810.51","9,223.15","9,231.09","8,802.94","454.08M","3.35%"
"11/02/2016","8,524.66","8,615.35","8,643.85","8,524.66","332.56M","0.91%"
"11/01/2016","8,447.76","8,398.12","8,457.32","8,398.12","225.49M","0.74%"
"10/31/2016","8,386.03","8,359.23","8,403.61","8,338.02","143.41M","0.34%"
"10/30/2016","8,357.42","8,349.26","8,394.90","8,349.10","111.63M","0.17%"
"10/27/2016","8,343.31","8,255.94","8,343.31","8,248.10","217.17M","1.04%"
"10/26/2016","8,257.21","8,264.34","8,308.54","8,257.20","164.86M","-0.05%"
"10/25/2016","8,261.14","8,227.61","8,265.55","8,220.90","142.53M","0.40%"
"10/24/2016","8,228.13","8,268.80","8,272.60","8,208.34","87.60M","-0.56%"
"10/23/2016","8,274.15","8,298.54","8,308.18","8,274.13","117.59M","-0.04%"
"10/20/2016","8,277.21","8,172.97","8,280.72","8,172.97","129.48M","1.43%"
"10/19/2016","8,160.40","8,211.90","8,227.91","8,134.43","179.54M","-0.65%"
"10/18/2016","8,213.53","8,244.36","8,262.03","8,188.80","172.46M","-0.36%"
"10/17/2016","8,243.32","8,433.59","8,433.59","8,242.94","312.71M","-2.24%"
"10/16/2016","8,432.41","8,504.30","8,613.44","8,432.41","140.59M","-0.85%"
"10/13/2016","8,505.12","8,222.98","8,506.35","8,222.98","301.27M","3.90%"
"10/12/2016","8,185.95","8,237.89","8,277.83","8,182.28","126.07M","-0.57%"
"10/11/2016","8,232.77","8,362.87","8,362.87","8,202.25","149.92M","-1.57%"
"10/10/2016","8,364.00","8,450.14","8,479.15","8,364.00","182.29M","-0.86%"
"10/09/2016","8,436.82","8,367.88","8,452.28","8,367.88","141.95M","0.82%"
"10/05/2016","8,368.52","8,200.02","8,369.02","8,197.67","186.24M","2.07%"
"10/04/2016","8,198.51","8,133.12","8,232.51","8,133.12","141.73M","0.80%"
"10/03/2016","8,133.12","7,888.96","8,133.41","7,888.96","203.09M","3.20%"
"09/29/2016","7,881.11","7,909.24","7,922.51","7,872.66","130.54M","-0.34%"
"09/28/2016","7,907.92","7,948.93","7,957.70","7,907.92","101.63M","-0.52%"
